,TEST DATASET,Introduction,Summary
10,11,"Aciloc RD 20 Tablet is a prescription medicine used to treat gastroesophageal reflux disease (Acid reflux) and peptic ulcer disease by relieving the symptoms such as heartburn, stomach pain, or irritation. It also neutralizes the acid in the stomach and promotes easy passage of gas to reduce stomach discomfort.Aciloc RD 20 Tablet is taken without food in a dose and duration as advised by the doctor. The dose you are given will depend on your condition and how you respond to the medicine. You should keep taking this medicine for as long as your doctor recommends. If you stop treatment too early your symptoms may come back and your condition may worsen. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine.Most common side effects are diarrhea, stomach pain, dryness in mouth, headache, and flatulence. Most of these are temporary and usually resolve with time. Contact your doctor straight away if you are at all concerned about any side effects. It may also cause dizziness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Avoid drinking alcohol while taking this medicine as it can worsen your dizziness. Lifestyle modifications like having cold milk and avoiding hot tea, coffee, spicy food or chocolate can help you to get better results.Before taking this medicine, you should tell your doctor if you are pregnant, planning pregnancy or breastfeeding. You should also tell your doctor if you have liver diseases so that your doctor can prescribe a suitable dose for you.","Aciloc RD 20 Tablet is a prescription medicine used to treat gastroesophageal reflux disease (Acid reflux) and peptic ulcer disease by relieving the symptoms such as heartburn, stomach pain, or irritation.Most of these are temporary and usually resolve with time.Avoid drinking alcohol while taking this medicine as it can worsen your dizziness."
11,12,"Arcolane 2% Scalp Solution belongs to a group of medicines called antifungals. It is used to treat fungal infections of the skin. It works by killing the fungus that causes infections such as athlete’s foot, thrush and ringworm.Arcolane 2% Scalp Solution should be used in the dose and duration as prescribed by your doctor. This medicine should be used regularly to get the maximum benefit from it. Do not use more than you need, it will not clear your condition faster and may only increase the side effects. Skin infections will usually get better after 2 to 4 weeks. Do not use the medicine for longer than your doctor has told you to and let him or her know if your condition does not improve after 2 to 4 weeks of treatment. If you have Athlete’s foot, wash your socks or tights thoroughly and change your shoes daily if possible.The most common side effects of using this medicine include a burning sensation and irritation, dryness, peeling, or blistering of the skin. Occasionally it can cause thinning of your hair. These are not usually serious, but you should call your doctor if you think you might have a severe allergic reaction. Signs of this include rash, swelling of the lips, throat or face, swallowing, or breathing problems. Get emergency help if this happens. Avoid direct contact with your eyes. In the case of direct contact, wash your eyes with water and seek immediate medical attention.It is not likely that other medicines you take by mouth or injection will affect the way this medicine works, but talk to your doctor before using it if you have recently used another medicine that contains a steroid or had an allergic reaction to another antifungal medicine. For pregnant or breastfeeding women, this cream should only be used if it is clearly needed.","It is used to treat fungal infections of the skin.Occasionally it can cause thinning of your hair.Signs of this include rash, swelling of the lips, throat or face, swallowing, or breathing problems."
12,13,"Atarax 25mg Tablet is an antihistamine used to treat symptoms of skin allergy like itching, swelling, and rashes. It is also used to treat anxiety and helps to get relaxed before or after surgery.Atarax 25mg Tablet should be taken with or without food, but take it at the same time every day to get the most benefit.  It should be taken as your doctor's advice. The dose and how often you take it depends on what you are taking it for. Your doctor will decide how much you need to improve your symptoms.  You should take this medicine for as long as it is prescribed for you. In case, you have missed any doses than it is better to take the next dose as soon as you remember it. However, you should never take a double dose.The most common side effects of this medicine include sedation, nausea, vomiting, stomach upset and constipation.  If these bother you or appear serious, let your doctor know. There may be ways of reducing or preventing them. You must avoid driving or attention-seeking activity while on treatment.Before taking this medicine, let your doctor know if you have heart problems or have high blood pressure, have liver or kidney problems. Inform your doctor if you are pregnant, or breastfeeding. Your doctor should also know about all other medicines you are taking as many of these may make this medicine less effective or change the way it works. Generally, it is advised to avoid alcohol while on treatment.","Inform your doctor if you are pregnant, or breastfeeding.Atarax 25mg Tablet is an antihistamine used to treat symptoms of skin allergy like itching, swelling, and rashes.There may be ways of reducing or preventing them."
13,14,"Altraday Capsule SR is a combination of two medicines. It is used to reduce pain and inflammation in conditions like rheumatoid arthritis, ankylosing spondylitis, and osteoarthritis. It may also be used to relieve muscle pain, back pain, toothache, or pain in the ear and throat.Altraday Capsule SR can be taken with or without food. The dose will depend on what you are taking it for and how well it helps your symptoms. You should take it as advised by your doctor. Do not take more or use it for a longer duration than recommended by the doctor.The most common side effects of this medicine include nausea, flatulence, indigestion, diarrhea, and constipation. If any of these side effects bother you or get worse, you should speak to your doctor. Your doctor may be able to suggest ways of preventing or reducing the side effects.Before taking it, you should let your doctor know if you have a history of ulcer or bleeding in your stomach, high blood pressure, or have any trouble with your heart, kidneys, or liver. Let your doctor also know about all the other medicines you are taking because they may affect, or be affected by, this medicine.Pregnant or breastfeeding women should consult their doctor before starting treatment. You should also avoid drinking alcohol while you are taking this medicine, as alcohol can cause excessive drowsiness.","Altraday Capsule SR is a combination of two medicines.It is used to reduce pain and inflammation in conditions like rheumatoid arthritis, ankylosing spondylitis, and osteoarthritis.You should take it as advised by your doctor."
14,15,"Anovate Cream is a combination medicine used for the treatment of piles (hemorrhoids). It relieves the pain, swelling, itching and discomfort associated with passing of stools in people who suffer this problem in the anal area.Anovate Cream must be used as per doctor's prescription. It is for external use only. Before using the medicine check the label for directions of use and apply gently on the clean and dry affected area. You should always wash your hands after applying it. Avoid getting it into your eyes or mouth. If accidental exposure occurs, rinse thoroughly with water.There are no major side effects associated with this medicine but can cause application site burning or irritation. Do not use this medicine if you are allergic to it.",It is for external use only.Avoid getting it into your eyes or mouth.Do not use this medicine if you are allergic to it.
15,16,"Ambrodil-S Syrup is a combination medicine used in the treatment of cough. It thins mucus in the nose, windpipe and lungs making it easier to cough out. It also relaxes the muscles in your airway. Together, they make breathing easier.Ambrodil-S Syrup is taken with or without food in a dose and duration as advised by the doctor. The dose you are given will depend on your condition and how you respond to the medicine. You should keep taking this medicine for as long as your doctor recommends. If you stop treatment too early your symptoms may come back and your condition may worsen. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine.The most common side effects are headache, palpitations, stomach upset, tremor, muscle cramp, and Increased heart rate. Most of these are temporary and usually resolve with time. Contact your doctor straight away if you are at all concerned about any of these side effects. This medicine can also cause dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Avoid drinking alcohol while taking this medicine as it can worsen your sleepiness.Never support self-medication or recommend your medicine to another person. Keep it out of reach of children. It is beneficial to have plenty of fluids while taking this medication. Before taking it, you should tell your doctor if you have any liver or kidney diseases so that your doctor can prescribe a suitable dose for you. Pregnant or breastfeeding women should consult their doctor before taking this medicine.","It also relaxes the muscles in your airway.It thins mucus in the nose, windpipe and lungs making it easier to cough out.Keep it out of reach of children."
16,17,"Allegra-M Tablet is a combination medicine used in the treatment of allergy symptoms such as runny nose, stuffy nose, sneezing, watery eyes and congestion or stuffiness.Allegra-M Tablet is taken with or without food in a dose and duration as advised by the doctor. The dose you are given will depend on your condition and how you respond to the medicine. You should keep taking this medicine for as long as your doctor recommends. If you stop treatment too early your symptoms may come back and your condition may worsen. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine.The most common side effects are nausea, diarrhea, vomiting, skin rash, flu-like symptoms, and headache. Most of these are temporary and usually resolve with time. Contact your doctor straight away if you are at all concerned about any of these side effects. This medicine may cause dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Avoid drinking alcohol while taking this medicine as it can worsen your sleepiness.Never support self-medication or recommend your medicine to another person. It is beneficial to have plenty of fluids while taking this medication. Before you start taking this medicine it is important to inform your doctor if you are suffering from liver or kidney disease. You should also tell your doctor if you are pregnant, planning pregnancy or breastfeeding.","Most of these are temporary and usually resolve with time.It is beneficial to have plenty of fluids while taking this medication.You should also tell your doctor if you are pregnant, planning pregnancy or breastfeeding."
17,18,"Ascoril D Plus Syrup Sugar Free is a combination medicine used in the treatment of dry cough. It relieves allergic symptoms such as sneezing, runny nose, watery eyes, and throat irritation. It also provides relief from congestion or stuffiness in the nose.Ascoril D Plus Syrup Sugar Free is taken with or without food in a dose and duration as advised by the doctor. The dose you are given will depend on your condition and how you respond to the medicine. You should keep taking this medicine for as long as your doctor recommends. If you stop treatment too early your symptoms may come back and your condition may worsen. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine.The most common side effects are nausea, vomiting, loss of appetite, and headache. Most of these are temporary and usually resolve with time. Contact your doctor straight away if you are at all concerned about any of these side effects. This medicine can also cause sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Avoid drinking alcohol while taking this medicine as it can worsen your sleepiness.Never support self-medication or recommend your medicine to another person. It is beneficial to have plenty of fluids while taking this medication. Before taking this medicine, you should tell your doctor if you are pregnant, planning pregnancy or breastfeeding. You should also tell your doctor if you have any kidney or liver diseases so that your doctor can prescribe a suitable dose for you.","It relieves allergic symptoms such as sneezing, runny nose, watery eyes, and throat irritation.Most of these are temporary and usually resolve with time.It is beneficial to have plenty of fluids while taking this medication."
18,19,"Arkamin Tablet is a medicine used in the treatment of hypertension (high blood pressure). It lowers the blood pressure by relaxing the blood vessels. Lowering the blood pressure helps to prevent future stroke and heart attack.Arkamin Tablet is also used to prevent migraine and hot flushes in women during menopause. This medicine can be taken with or without food but it is better to take it at the same time every day. You should always take this medicine as advised by the doctor and should never stop it without consulting the doctor. Most people with high blood pressure do not feel ill, but if you stop taking this medicine, your condition could get worse. This may lead to your blood pressure rising up again and increase your risk of heart disease and stroke. You should monitor your blood pressure regularly while taking this medicine.Common side effects of this medicine include dizziness, headache, nausea, fatigue, dry mouth, and constipation. Consult your doctor if these side effects bother you.Before taking this medicine, it is better to let your doctor know if you are suffering from any kidney or liver disease. Also, pregnant women and breastfeeding mothers should consult a doctor before taking it.","It lowers the blood pressure by relaxing the blood vessels.Also, pregnant women and breastfeeding mothers should consult a doctor before taking it.You should always take this medicine as advised by the doctor and should never stop it without consulting the doctor."
19,20,"Axcer  90mg Tablet belongs to a group of medicines called antiplatelets or blood thinners. It reduces the formation of harmful blood clots in blood vessels. This helps to prevent a heart attack or stroke in people with heart disease.Axcer  90mg Tablet is also used to treat people with a recent heart attack or severe heart-related chest pain (unstable angina), who have undergone stenting of the heart. It helps to prevent serious heart-related problems like having another heart attack, stroke, or formation of blood clots in stents in such people.Your doctor will also prescribe aspirin, another antiplatelet medicine, along with this medicine. Axcer  90mg Tablet may be taken with or without food and should be taken regularly at the same time each day. It is important to keep taking it even if you feel well. If you stop taking this medicine, it may increase your chances of having another heart attack or stroke.The most common side effect seen with this medicine is bleeding. If you cut or injure yourself, it may take longer than usual for the bleeding to stop. Such episodes of bleeding are usually mild and resolve on their own. Some people may develop mild breathlessness after taking this medicine, however, this usually resolves on its own with continued treatment. Let your doctor know if bleeding persists or if the breathlessness worsens or does not go away.Axcer  90mg Tablet is not suitable for some people. Do not take it if you are bleeding from anywhere in the body such as a stomach ulcer or bleeding within the brain, or if you have severe liver problems.",It reduces the formation of harmful blood clots in blood vessels.Axcer  90mg Tablet belongs to a group of medicines called antiplatelets or blood thinners.Such episodes of bleeding are usually mild and resolve on their own.
20,21,"Androanagen Solution is used to treat hair loss. It works by increasing blood flow to the hair follicles which further prevents hair loss and stimulates re-growth resulting in longer, thicker and increased numbers of hair.Androanagen Solution should only be applied directly to the scalp area in the amount, and in the way, specified on the label or by your doctor. Clean and dry your scalp before using it. It may take several months before you notice any hair growth and the first growth may be soft, colorless and barely visible. Using more than recommended will not speed up hair growth and may cause dangerous side effects. This medication must be used continuously to maintain hair growth. If your condition does not improve or worsens after using it for 4 to 6 months, tell your doctor.It is generally safe and suitable for most people but has some potential side effects. The most common are headache, itching or irritation of the scalp.  This should not happen if you use it correctly and avoid contact with broken skin. If you get it in your eyes, mouth or broken skin, rinse thoroughly with plenty of water. Talk to your doctor if you are bothered by side effects, or they do not go away.It should not be used by pregnant women. Consult your doctor if you are breastfeeding mother. It may not be appropriate if your hair loss is due to medications (such as chemotherapy) or any nutritional deficiency. You should also not use this medicine if you have high blood pressure or are using other creams or lotions to treat other scalp conditions.","Consult your doctor if you are breastfeeding mother.The most common are headache, itching or irritation of the scalp.Clean and dry your scalp before using it."
21,22,"Acnestar Gel is a combination medicine that is used to treats acne. It minimizes excessive oil production, thus reduces inflammation. It also prevents the growth of the microorganisms that cause acne. This also helps to prevent pimples, blackheads, and whiteheads on the skin.Acnestar Gel is only meant for external use and should be used as advised by your doctor. A thin layer of the medicine should be applied only to the affected areas of the skin with clean and dry hands. Wash your hands before and after applying the medicine. If it gets into your eyes, nose, mouth, or vagina rinse with water. It may take several days to weeks for your symptoms to improve, but you should keep using this medicine regularly. The course of the treatment should be completed to ensure better efficacy of the medicine. If your condition does not improve or gets worse, you should talk to your doctor.This is usually a safe medicine, however, it may cause dryness, peeling, redness, and burning sensation at the application site. These side effects are usually mild and self-limiting. Most of these side effects can be prevented by using a skin moisturizer and drinking plenty of water. Serious side effects are rare. You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before using this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases. Pregnant and breastfeeding women should use this medicine with proper consultation and caution. If you are a known allergic to the medicine, you must refrain from using this medicine and consult your doctor. During the course of the treatment, do not touch, prick or scratch the infected skin areas as this may worsen or spread the acne. Avoid unnecessary sun exposure and use a sunscreen before stepping out in the sun. It is also advised, not to receive any cosmetic procedures without asking your doctor.","If it gets into your eyes, nose, mouth, or vagina rinse with water.It minimizes excessive oil production, thus reduces inflammation.You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc."
22,23,"Asthakind-DX Syrup Sugar Free is a combination medicine used in the treatment of dry cough. It relieves allergic symptoms such as sneezing, runny nose, watery eyes, and throat irritation. It also provides relief from congestion or stuffiness in the nose.Asthakind-DX Syrup Sugar Free is taken with or without food in a dose and duration as advised by the doctor. The dose you are given will depend on your condition and how you respond to the medicine. You should keep taking this medicine for as long as your doctor recommends. If you stop treatment too early your symptoms may come back and your condition may worsen. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine.The most common side effects are nausea, vomiting, loss of appetite, and headache. Most of these are temporary and usually resolve with time. Contact your doctor straight away if you are at all concerned about any of these side effects. This medicine can also cause sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Avoid drinking alcohol while taking this medicine as it can worsen your sleepiness.Never support self-medication or recommend your medicine to another person. It is beneficial to have plenty of fluids while taking this medication. Before taking this medicine, you should tell your doctor if you are pregnant, planning pregnancy or breastfeeding. You should also tell your doctor if you have any kidney or liver diseases so that your doctor can prescribe a suitable dose for you.","It relieves allergic symptoms such as sneezing, runny nose, watery eyes, and throat irritation.Most of these are temporary and usually resolve with time.Asthakind-DX Syrup Sugar Free is a combination medicine used in the treatment of dry cough."
23,24,"Allegra 180mg Tablet belongs to a group of medicines called antihistamines. It is used to treat various allergic conditions such as hay fever, conjunctivitis and some skin reactions such as eczema, hives, and reactions to bites and stings. It relieves watery eyes, runny nose, sneezing, and itching.Allegra 180mg Tablet should be taken empty stomach. The dose may vary depending on what you are taking it for. Take it as it has been prescribed by your doctor. You may need this medicine only on days you have symptoms, or you may need to take it every day to prevent symptoms from happening. If you stop taking it earlier than advised, your symptoms may come back.This medicine is generally very safe. The most common side effects include headache, drowsiness, dizziness, and nausea. These are usually mild and go away after a couple of days as your body adjusts. Consult your doctor if any of the side effects persist or worry you.Before taking it, you should tell your doctor if you have any problems with your liver or kidneys or with your heart as antihistamines can cause your heart to beat faster. Pregnant or breastfeeding women should also consult with their doctor before taking it. Avoid drinking alcohol as it can cause excessive drowsiness with this medicine. It usually does not impair your ability to drive, but you should not drive if it makes you feel sleepy or dizzy.","It relieves watery eyes, runny nose, sneezing, and itching.Allegra 180mg Tablet should be taken empty stomach.Allegra 180mg Tablet belongs to a group of medicines called antihistamines.It is used to treat various allergic conditions such as hay fever, conjunctivitis and some skin reactions such as eczema, hives, and reactions to bites and stings."
24,25,"Amlokind-AT Tablet is used to treat hypertension (high blood pressure). This is a combination of two medicines that controls blood pressure when a single medication is not effective. It helps to lower high blood pressure and thus reduces the chances of future heart attack and stroke.You can take Amlokind-AT Tablet at any time of day, on empty stomach, but it is best to take it at the same time each day. Keep taking it for as long as advised by your doctor. Even if you feel well, do not stop this medicine on your own because high blood pressure often has no symptoms. If you stop taking it, your condition may get worse. Keeping active with regular exercise, reducing your weight and eating a healthy diet will also help control your blood pressure. Follow your doctor’s advice while taking this medicine.It may cause side effects like headache, ankle swelling, slow heart rate, and nausea. It may also cause dizziness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. This might raise the level of potassium in the blood, hence avoid potassium rich food or supplements. You may be asked for regular monitoring of blood pressure, kidney function, and electrolytes level while on the treatment.Before taking it, let your doctor know if you have any liver or kidney problems. Pregnant or breastfeeding women should also consult their doctor for advice before taking this medicine. You also need to tell your doctor what other medicines you are taking especially those used to treat high blood pressure or heart conditions.","Pregnant or breastfeeding women should also consult their doctor for advice before taking this medicine.This might raise the level of potassium in the blood, hence avoid potassium rich food or supplements.Amlokind-AT Tablet is used to treat hypertension (high blood pressure)."
